comment,rating,date,drug,url
"I had been taking this drug for more than 5 years. Last year Januvia was added, because the Actosplus Met was insufficient to adequately lower my blood sugar. For the entire time, I have been unable to lose weight, although my daily calorie consumption is about 1000. I've had extreme fatigue, aches and pains, urinary urgency, carb cravings, and diarrhea. 2 weeks ago I reported to my doctor that my FBG was over 250. He replaced the Januvia with Farxiga. He also sent me to get a cardiac CT scan due to my family history. Since the dye used in the test, combined with metformin can cause lactic acidosis, I couldn't take my Actosplus Met for 2 days. By the second day, I felt great. My FBG was under 170 using just the Farxiga. My aches and pains went away, and the weight just started dropping off. 15 days later, I have lost 11 lbs, my FBG is under 150, I am no longer retaining fluid, and I feel 10 times better. This is only my experience, but there is no way I am ever taking this drug again. I can't believe I've spent 5 years wondering why I couldn't lose weight, no matter how little I ate. A diabetes drug with these side effects should never have been approved by the FDA. Its existence is some kind of cosmic joke on diabetics. I don't know if the drug manufacturer is negligent or inept. A diabetes drug that causes weight gain and aches and pains bad enough to prevent exercise would certainly ensure people have to keep taking it. I have hope that without this drug that I can keep losing weight through diet and exercise and that my numbers will continue to improve. I believe that CT scan may have saved my life, although not in the way it was intended. Your experience may be completely different than mine, but if you are suffering from these side effects, see your doctor. If he or she dismisses your concerns, find another doctor. It's your life, after all.","{'effectiveness': 3.0, 'ease of use': 2.0, 'satisfaction': 1.0}",8/21/2015 4:46:45 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=0&sortby=3&conditionFilter=-1
"This medication increased my appetite, gave me diarrhea and made me feel horrible!","{'effectiveness': 3.0, 'ease of use': 5.0, 'satisfaction': 1.0}",5/30/2015 4:10:32 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=0&sortby=3&conditionFilter=-1
"Horrible! Gained 45 lbs, had trouble with pain with liver, did not control my A1c. Felt miserable constantly, digestive problems with diarrhea all the time.   Went off of the med and lost weight and felt 100% better, doctor insisted I go back on it, now I feel horrible again.","{'effectiveness': 2.0, 'ease of use': 1.0, 'satisfaction': 1.0}",10/12/2013 1:05:38 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=0&sortby=3&conditionFilter=-1
Haven't had any problems with this med so far,"{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 5.0}",5/30/2013 9:08:46 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=0&sortby=3&conditionFilter=-1
"I toke Actosplus met a few years. The side effects were Leg broke, Swelling of the lower leg or ankles,Weight gain (from 140 to 157 lbs), frequently Urinary tract infection and trouble breath. I stopped taking it after my leg broke","{'effectiveness': 3.0, 'ease of use': 3.0, 'satisfaction': 1.0}",2/10/2013 10:58:43 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=0&sortby=3&conditionFilter=-1
following doctors recomendation only,"{'effectiveness': 4.0, 'ease of use': 5.0, 'satisfaction': 4.0}",9/10/2011 10:29:42 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=1&sortby=3&conditionFilter=-1
"Did an adequate job of controlling my blood sugar, but started having other symtoms almost immediately. Weight gain, swollen feet and fatigue. Felt much better when I wasn't taking it, lost weight and good energy, but my numbers were high out of control.","{'effectiveness': 3.0, 'ease of use': 4.0, 'satisfaction': 2.0}",8/24/2011 1:51:26 AM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=1&sortby=3&conditionFilter=-1
"This was a terrible drug and I regret allowing my Dr. to switch me from Metformin (which worked extremely well for me)to ActoplusMet 15/500.
1.)It did NOT control my blood sugar nearly as well as Metformin and my A1c number crept up gradually over the 4 years I was on it, from 5.6 to 6.9.
2.) I gained over 35 pounds in spite of consistent exercise and a pretty darn good dietary regimen.
3.) I began to be suspicious of the early signs of congestive heart failure and possible coronary artery disease which was confirmed by a recent stress EKG and subsequent angiogram.
These problems all took place in spite of good cholesterol numbers in the 135 - 145 range and LDL numbers below 70.
I insisted my doctor take me off Actoplus and went back to plain Metformin about 7 months ago and since then have dropped almost 25 pounds. I'm also seeing huge improvements in my blood glucose readings.  I am absolutely convinced that I got off Actoplus in the nick of time to avoid needing full-blown open heart surgery (at least for now) and am attempting to deal with the CAD with aggressive heart medications, continued exercise and diet ... we'll see over the next year whether or not this works.
Unfotunately there's no way to prove one way or the other that Actoplus is the culprit with resect to the heart issues, but I'm a student of my own body and I'm thoroughly convinced it's the primary cause. The added fact that it did a terrible job controlling my blood sugar, which was the sole reason for taking it in the first place makes it a failed experiment as far as I'm concerned.  It may work for others but it was a disaster for me.  ","{'effectiveness': 1.0, 'ease of use': 5.0, 'satisfaction': 1.0}",8/9/2011 2:16:54 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=1&sortby=3&conditionFilter=-1
"I have been taking 850/15 for about 31/2 months now. It has brought my sugar down, my hemoglobin is now normal at 5.6. I have been walking a couple of miles everyday but for the last 2 3 weeks my joints, especially my hips are hurting a lot. That's effecting my mobility, I can't walk like I used to. I did get stiff before this med but my joints didn't hurt like they hurt now.I need to loose the weight so I can get of this med but I can't exercise. I also get jittery at times.","{'effectiveness': 5.0, 'ease of use': 5.0, 'satisfaction': 3.0}",10/20/2010 11:49:54 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=1&sortby=3&conditionFilter=-1
Has controled symtoms and A1c levels are good. i have encountered an upset stomach and diarrhea at times. I have been using this medication for over 1 year.,"{'effectiveness': 4.0, 'ease of use': 4.0, 'satisfaction': 3.0}",9/14/2010 3:52:33 PM,Actoplus MET oral,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral&pageIndex=2&sortby=3&conditionFilter=-1
